Name,Final,Started,County,AcresBurned,PercentContained,Longitude,Latitude,Type,IsActive,CalFireIncident,Location
Soda Fire,True,2020-06-10T14:52:42Z,San Luis Obispo,1672,100,-120.00521,35.35146,Wildfire,False,True,"Hwy 58 and Soda Lake Rd, California Valley"
Lime Fire,True,2020-06-10T18:30:38Z,Ventura,803,100,-118.77347,34.46182,Wildfire,False,True,"Lime Canyon Rd and Piru Canyon Rd, west of Lake Piru     "
Skyline Fire,True,2020-06-11T13:08:40Z,San Diego,100,100,-116.7862,32.73044,Wildfire,False,True,Skyline Truck Trail
Border 7 Fire,True,2020-06-11T16:57:46Z,San Diego,90,100,-116.690712,32.580882,Wildfire,False,True,Marron Valley
Watt Fire,True,2020-06-11T18:25:12Z,Placer,40,100,-121.378879,38.733421,Wildfire,False,True,PFE Rd and Watt Ave
Grant Fire,True,2020-06-12T12:41:17Z,Sacramento,5042,100,-121.201927,38.520981,Wildfire,False,True,Grantline Road and Keifer Blvd
Hog Fire,True,2020-06-12T17:35:38Z,Fresno,533,100,-119.36572,36.82276,Wildfire,False,False,E Trimmer Springs Rd and Pine Flat Lake 
Cornetts Fire,True,2020-06-13T14:27:51Z,Mariposa,191,100,-120.08522,37.40827,Wildfire,False,True,Cornetts Road and Old Highway South
Dawson Fire ,True,2020-06-13T18:32:06Z,Riverside,10,100,-117.461925,33.776033,Wildfire,False,True,Dawson Canyon Road and Park Canyon Road 
Hopland Fire,True,2020-06-13T18:52:54Z,Mendocino,34,100,-80.49163,39.14783,Wildfire,False,True,"Highway 101, southwest of Hopland"
Avila Fire,True,2020-06-15T16:44:39Z,San Luis Obispo,445,100,-120.69959,35.17977,Wildfire,False,True,"Avila Beach Drive and Hwy 101, East of Avila Beach"
Bitter Fire ,True,2020-06-16T14:11:55Z,San Benito,895,100,-120.92925,36.3011,Wildfire,False,True,"Highway 25 and Hernandez-Coalinga Road, North of King City"
Riata Fire ,True,2020-06-16T14:44:53Z,San Luis Obispo,18,100,-120.56823,35.40953,Wildfire,False,True,"5900 Block West Pozo Road near Hwy 58, East of Santa Margarita"
Walker Fire,True,2020-06-16T16:58:00Z,Calaveras,1455,100,-120.72958,38.07741,Wildfire,False,True,"Walker Trail Road and Hogan Dam Road, North of Copperopolis"
Nelson Fire ,True,2020-06-17T12:54:12Z,Butte,95,100,-121.60037,39.52408,Wildfire,False,True,"Nelson Ave and 16th St, Oroville"
Liberty Fire,True,2020-06-17T15:49:46Z,San Joaquin,89,100,-121.20828,38.23432,Wildfire,False,True,"Liberty Rd and Hwy 88, east of Galt"
Ridge Fire,True,2020-06-17T16:54:46Z,Monterey,83,100,-121.42113,35.9497,Wildfire,False,False,"Plasket Ridge Road and S Coast Ridge Road, North of Gorda"
Baker Fire,True,2020-06-17T20:22:58Z,Kern,165,100,-118.6894,35.27678,Wildfire,False,False,"Bena Rd and Caliente Bodfish Rd, east of Bakersfield  "
Nelson Fire,True,2020-06-18T16:56:59Z,Placer,110,100,-121.33956,38.89178,Wildfire,False,True,"Nelson Rd and Rockwell Ln, west of Lincoln"
Fork Fire,True,2020-06-18T20:28:41Z,Tulare,130,100,-118.845123,36.37085,Wildfire,False,True,"South Fork Dr and Salt Creek Fire Control Rd, East of Three Rivers"
Teddy Fire,True,2020-06-18T22:33:51Z,Butte,13,100,-121.45372,39.37577,Wildfire,False,True,"Teddy Lane and Bangor Park Rd., Bangor"
Springs Fire,True,2020-06-19T15:19:44Z,Tulare,217,100,-118.8613,35.89133,Wildfire,False,True,Hot Springs Dr and M-56
Honcut Fire,True,2020-06-20T14:24:00Z,Butte,89,100,-121.53976,39.36894,Wildfire,False,True,"Palermo Honcut Hwy and Four Junes Way, south of Palermo"
Quarter Fire,True,2020-06-21T11:33:36Z,Tuolumne,10,100,-120.20316,38.08264,Wildfire,False,False,"Italian Bar Road and Grant Ridge Road, North of Twain Harte"
Hunter Fire,True,2020-06-21T16:29:28Z,Monterey,195,100,-121.08753,35.90835,Wildfire,False,True,"River Road and Interlake Road, South of Lockwood"
Stage Fire,True,2020-06-21T21:50:06Z,Monterey,52,100,-121.57407,36.69845,Wildfire,False,True,"  Old Stage Road and Williams Road, Northeast of Salinas"
Grade Fire ,True,2020-06-22T08:16:27Z,Tulare,1050,100,-119.19677,36.5537,Wildfire,False,True,"Boyd Dr and Rd 168, east of Orosi"
Rico Fire ,True,2020-06-22T15:55:55Z,Monterey,338,100,-120.87858,35.9789,Wildfire,False,True,"Sargents Canyon Rd and Dead Mans Gulch Rd, southeast of San Ardo"
River Fire,True,2020-06-22T13:55:00Z,San Luis Obispo,15,100,-120.68326,35.62906,Wildfire,False,False,"River Road and Creston Road, West of Paso Robles"
Sycamore Fire,True,2020-06-23T08:23:48Z,Fresno,19,100,-119.33439,36.97511,Wildfire,False,True,Sycamore Road and Coyote Drive Southeast of Tollhouse
R-2 Fire,True,2020-06-23T21:12:11Z,Lassen,563,100,-120.28147,40.43203,Wildfire,False,False,"Highway 395 and Smoke Creek Rod, Northeast of Susanville "
R-3 Fire,True,2020-06-24T07:49:19Z,Lassen,210,100,-120.04635,40.44793,Wildfire,False,False,Skedaddle Ranch Road and Spencer Basin Road Northeast of Herlong
58 Fire,True,2020-06-24T17:49:08Z,Riverside,12,100,-115.96594,33.27665,Wildfire,False,True,"Van Buren Street and Avenue 58, Thermal"
Diablo Fire,True,2020-06-25T06:47:01Z,Stanislaus,202,100,-121.18355,37.46265,Wildfire,False,True,Del Puerto Canyon and Diablo Grande
Bend Fire,True,2020-06-25T17:28:46Z,San Luis Obispo,263,100,-119.88048,35.30742,Wildfire,False,False,"Belmont Trail and Bend Rd, California Valley "
Aurora Fire,True,2020-06-26T15:13:24Z,Mono,280,100,-119.00289,38.22554,Wildfire,False,False,"Bodie Rd, east of Bridgeport"
Poeville Fire,True,2020-06-27T19:08:50Z,State of Nevada,2975,100,-119.81098,39.32596,Wildfire,False,False,Highway 395 Truckee Meadows 
Pass Fire,True,2020-06-28T13:28:53Z,Merced,2192,100,-121.21912,37.06641,Wildfire,False,True,"Hwy 152 and Dinosaur Point Rd, near Santa Nella"
Gage Fire,True,2020-06-28T15:58:46Z,San Luis Obispo,33,100,-120.96759,35.69993,Wildfire,False,True,Running Deer Rd and Gage Irving Road
Muck Fire ,True,2020-06-29T12:35:41Z,Lassen,12,100,-121.2199939,41.0336731,Wildfire,False,True,"Highway 299 and Muck Valley Road, South of Nubieber "
Avacado Fire,True,2020-06-30T15:43:01Z,Butte,136,100,-121.4319,39.3784,Wildfire,False,True,"Bangor Park Road and Teddy Lane, West of Bangor  "
Flat Fire,True,2020-06-30T17:40:16Z,Trinity,62,100,-123.437051,40.791509,Wildfire,False,False,"Highway 299W and Mill Creek Road, Southeast of Burnt Ranch  "
Bena Fire,True,2020-07-01T16:32:50Z,Kern,2900,100,-118.702732,35.310132,Wildfire,False,True,"Bena Road and Caliente Bodfish Road, East of Bakersfield"
Rowher Fire,True,2020-07-01T16:43:16Z,Los Angeles,648,100,-118.324601,34.542742,Wildfire,False,False,"Spring Canyon Road and Anthony Road, North of Santa Clarita "
Bonadelle Fire,True,2020-07-02T15:27:03Z,Madera,597,100,-119.9252132,36.9678542,Wildfire,False,False,"Avenue 15 and Road 35, Bonadelle"
Soda Fire ,True,2020-07-03T14:00:40Z,San Luis Obispo,157,100,-120.053275,35.393889,Wildfire,False,False,"Soda Lake Rd and Culver City Rd, California Valley"
